,movielens_Id,genre,imdbId,tmdbId,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,tomatoMeter,tomatoRating,tomatoConsensus,tomatoUserRating,tomatoImage,DVD,Production,tomatoFresh,Website,tomatoRotten,tomatoUserReviews,tomatoUserMeter,BoxOffice,tomatoReviews,tomatoURL,sentiment_polarity
1263,34319,Action|Sci-Fi|Thriller,399201,1635.0,"Lincoln Six Echo is just like everyone else - he's waiting to go to the Island, the only place left in the world to actually live a life. Thousands of people stay at a facility waiting to ...",PG-13,True,English,The Island,USA,"Caspian Tredwell-Owen (screenplay), Alex Kurtzman (screenplay), Roberto Orci (screenplay), Caspian Tredwell-Owen (story)",50.0,6.9,Michael Bay,22 Jul 2005,"Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean",2005,"Action, Adventure, Romance",1 win &amp; 6 nominations.,136 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjk0NjM1ODReQTJeQWpwZ15BbWU3MDc1NjIxMzM@._V1_SX300.jpg,"266,193",tt0399201,40.0,5.4,"A clone of THX 1183, Coma, and Logan's Run, The Island is another loud and bombastic Michael Bay movie where explosions and chases matter more than characters, dialogue, or plot.",3.3,rotten,13 Dec 2005,Dreamworks Distribution LLC,77,http://www.theisland-themovie.com,117,371594,64.0,"$35,800,000.00",194,http://www.rottentomatoes.com/m/island/,0.166666666667
1264,34323,Action|Crime|Horror,395584,1696.0,"The murderous, backwoods Firefly family take to the road to escape a vengeful police force which is not afraid of being as ruthless as their target.",R,True,"English, Spanish",The Devil's Rejects,"USA, Germany","Rob Zombie, Rob Zombie (characters)",53.0,6.9,Rob Zombie,22 Jul 2005,"Sid Haig, Bill Moseley, Sheri Moon Zombie, William Forsythe",2005,"Crime, Horror",10 wins &amp; 5 nominations.,107 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMjM1MjM4NV5BMl5BanBnXkFtZTcwNTgyMzUzMw@@._V1_SX300.jpg,"77,723",tt0395584,53.0,5.4,"Zombie has improved as a filmmaker since ""House of 1000 Corpses"" and will please fans of the genre, but beware -- the horror is nasty, relentless, and sadistic.",3.6,rotten,07 Nov 2005,Lions Gate Films,70,http://www.thedevilsrejects.com/,62,111944,78.0,"$16,901,126.00",132,http://www.rottentomatoes.com/m/devils_rejects/,-1.0
1265,34326,Drama,403217,1665.0,A Seattle musician's life and career are reminiscent to those of Kurt Cobain.,R,True,English,Last Days,USA,Gus Van Sant,67.0,5.8,Gus Van Sant,13 May 2005,"Michael Pitt, Lukas Haas, Asia Argento, Scott Patrick Green",2005,"Biography, Drama, Music",1 win &amp; 5 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDMyMzM2MTYxNV5BMl5BanBnXkFtZTcwOTExNDAzMQ@@._V1_SX300.jpg,"19,013",tt0403217,57.0,5.9,"While the minimalist style is not for all viewers, those who prefer experimentalism will find Last Days hypnotic.",3.0,rotten,25 Oct 2005,Picture House,65,http://www.lastdaysmovie.com/,50,22879,50.0,"$356,500.00",115,http://www.rottentomatoes.com/m/last_days/,0.0
1266,34332,Action|Adventure|Children|Comedy,405325,11459.0,"Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",PG,True,"English, Cantonese",Sky High,USA,"Paul Hernandez, Robert Schooley, Mark McCorkle",62.0,6.2,Mike Mitchell,29 Jul 2005,"Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker",2005,"Adventure, Comedy, Family",1 nomination.,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZjA2NmY1OTQtMjE4Mi00NGRkLWFmODUtM2Q3ZTRlYjZhNWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"62,589",tt0405325,73.0,6.5,"This highly derivative superhero coming-of-age flick is moderately entertaining, family-friendly fluff.",3.0,fresh,29 Nov 2005,Buena Vista,93,http://disney.go.com/disneypictures/skyhigh/,34,202866,57.0,"$63,939,454.00",127,http://www.rottentomatoes.com/m/1142872-sky_high/,0.186666666667
1267,34334,Action|Adventure|Sci-Fi|Thriller,382992,10048.0,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",PG-13,True,"English, Korean, Russian, Spanish",Stealth,USA,W.D. Richter,35.0,5.0,Rob Cohen,29 Jul 2005,"Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard",2005,"Action, Adventure, Sci-Fi",2 nominations.,121 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNzMzNTY0NTYwOV5BMl5BanBnXkFtZTcwMTExNjgyMQ@@._V1_SX300.jpg,"45,746",tt0382992,13.0,3.8,"Loud, preposterous, and predictable, Stealth borrows heavily and unsucessfully from Top Gun and 2001.",2.9,rotten,29 Jan 2008,Columbia Pictures,18,http://sonypictures.com/movies/stealth,120,76607,40.0,"$31,704,416.00",138,http://www.rottentomatoes.com/m/1146673-1146673-stealth/,0.05
1268,34336,Comedy|Romance,417001,11648.0,"A forty-something preschool teacher looks to the personals for a change of pace and a relationship, with hilarious results.",PG-13,True,"English, Armenian",Must Love Dogs,USA,"Claire Cook (novel), Gary David Goldberg (screenplay)",46.0,5.9,Gary David Goldberg,29 Jul 2005,"Diane Lane, John Cusack, Elizabeth Perkins, Christopher Plummer",2005,"Comedy, Romance",1 nomination.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTU0ODA0NTM1OF5BMl5BanBnXkFtZTcwODE0MTkyMQ@@._V1_SX300.jpg,"26,290",tt0417001,35.0,5.0,"Despite good work from its likable leads, the romantic comedy Must Love Dogs is too predictable.",3.0,rotten,20 Dec 2005,Warner Bros. Pictures,51,http://www.mustlovedogsmovie.com,95,197754,50.0,"$43,800,000.00",146,http://www.rottentomatoes.com/m/must_love_dogs/,0.3
1269,34405,Action|Adventure|Sci-Fi,379786,16320.0,The crew of the ship Serenity try to evade an assassin sent to recapture one of their numbers who is telepathic.,PG-13,True,"English, Mandarin",Serenity,USA,Joss Whedon,74.0,8.0,Joss Whedon,30 Sep 2005,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",2005,"Action, Adventure, Sci-Fi",9 wins &amp; 8 nominations.,119 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NTY1MzY4NV5BMl5BanBnXkFtZTcwNTczODAzMQ@@._V1_SX300.jpg,"245,263",tt0379786,82.0,7.1,Snappy dialogue and goofy characters make this Wild Wild West soap opera in space fun and adventurous.,3.9,certified,20 Dec 2005,Universal Pictures,148,http://www.serenitymovie.com/,32,312438,91.0,"$25,335,935.00",180,http://www.rottentomatoes.com/m/serenity/,0.3
1270,34437,Comedy|Drama,412019,308.0,"As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers.",R,True,English,Broken Flowers,"USA, France","Jim Jarmusch, Bill Raden (inspired by an idea from), Sara Driver (inspired by an idea from)",79.0,7.2,Jim Jarmusch,26 Aug 2005,"Bill Murray, Julie Delpy, Heather Simms, Brea Frazier",2005,"Comedy, Drama, Mystery",4 wins &amp; 11 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4OTk1MTYxM15BMl5BanBnXkFtZTcwMTYwNjAzMQ@@._V1_SX300.jpg,"82,581",tt0412019,88.0,7.5,"Bill Murray's subtle and understated style complements director Jim Jarmusch's minimalist storytelling in this quirky, but deadpan comedy.",3.3,certified,03 Jan 2006,Focus Features,164,http://www.brokenflowersmovie.com/,23,95103,70.0,"$13,578,173.00",187,http://www.rottentomatoes.com/m/broken_flowers/,-0.294444444444
1271,34520,Action|Adventure|Comedy,377818,6519.0,"Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",PG-13,True,English,The Dukes of Hazzard,USA,"John O'Brien (screenplay), John O'Brien (story), Jonathan L. Davis (story), Gy Waldron (characters)",33.0,5.1,Jay Chandrasekhar,05 Aug 2005,"Johnny Knoxville, Seann William Scott, Alice Greczyn, Steve Lemme",2005,"Action, Adventure, Comedy",5 wins &amp; 14 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwOTYxODI4OV5BMl5BanBnXkFtZTcwNDYxODIzMw@@._V1_SX300.jpg,"67,028",tt0377818,14.0,3.6,"A dumb, goofy, and vacuous adaptation of a TV show where plot is simply an excuse to string together the car chases.",2.9,rotten,06 Dec 2005,Warner Bros. Pictures,23,http://dukesofhazzard.warnerbros.com/,144,409743,46.0,"$80,206,743.00",167,http://www.rottentomatoes.com/m/dukes_of_hazzard/,0.025
1273,34528,Comedy|Drama,418773,1444.0,"A dealer in ""outsider"" art travels from Chicago to North Carolina to meet her new in-laws, challenging the equilibrium of this middle class Southern home.",R,True,English,Junebug,USA,Angus MacLachlan,80.0,7.0,Phil Morrison,16 Sep 2005,"Embeth Davidtz, David Kuhn, Alessandro Nivola, Alicia Van Couvering",2005,"Comedy, Drama",Nominated for 1 Oscar. Another 21 wins &amp; 25 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjIyMTEwN15BMl5BanBnXkFtZTcwMjE1NzAzMQ@@._V1_SX300.jpg,"19,207",tt0418773,86.0,7.5,"Aided and abetted by a wonderful cast, director Phil Morrison transforms familiar material into an understated and resonant comedy.",3.4,certified,17 Jan 2006,Sony Pictures Classics,111,http://www.sonyclassics.com/junebug/,18,46713,73.0,"$2,416,555.00",129,http://www.rottentomatoes.com/m/junebug/,0.6875
1274,34530,Comedy,367652,11453.0,"Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst.",R,True,"English, Dutch",Deuce Bigalow: European Gigolo,USA,"Harris Goldberg (characters), Rob Schneider (characters), Rob Schneider (story), Rob Schneider (screenplay), David Garrett (screenplay), Jason Ward (screenplay)",23.0,4.6,Mike Bigelow,12 Aug 2005,"Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger",2005,Comedy,3 wins &amp; 10 nominations.,83 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZTAwYTFhNzgtN2E0ZC00NGZkLWIxY2UtZWRlYzJiMmZlODRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"41,599",tt0367652,9.0,2.8,"A witless follow-up to the surprise 1999 hit, Deuce Bigalow: European Gigolo is raunchy, politically incorrect, and not particularly funny.",2.6,rotten,29 Nov 2005,Sony,9,http://www.sonypictures.com/movies/deucebigaloweuropeangigolo,90,193967,33.0,"$22,264,487.00",99,http://www.rottentomatoes.com/m/deuce_bigelow_european_gigolo/,-0.15625
1275,34532,Drama|Horror|Mystery|Thriller,397101,9913.0,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,PG-13,True,"English, French",The Skeleton Key,"USA, Germany",Ehren Kruger,47.0,6.5,Iain Softley,12 Aug 2005,"Kate Hudson, Gena Rowlands, John Hurt, Peter Sarsgaard",2005,"Horror, Mystery, Thriller",5 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNDYzODE3NF5BMl5BanBnXkFtZTcwMDc1NDAzMQ@@._V1_SX300.jpg,"88,746",tt0397101,38.0,5.3,"Thanks to its creaky and formulaic script, The Skeleton Key is more mumbo-jumbo than hoodoo and more dull than scary.",3.1,rotten,15 Nov 2005,Universal Pictures,56,http://www.theskeletonkeymovie.com/,93,192030,58.0,"$47,729,605.00",149,http://www.rottentomatoes.com/m/1149472-skeleton_key/,0.0583333333333
1276,34536,Action|Drama|War,326905,13922.0,"Taking place towards the end of WWII, 500 American Soldiers have been entrapped in a camp for 3 years. Beginning to give up hope they will ever be rescued, a group of Rangers goes on a dangerous mission to try and save them.",R,True,"Filipino, English, Tagalog, Japanese",The Great Raid,"USA, Australia","William B. Breuer (book), Hampton Sides (book), Carlo Bernard (screenplay), Doug Miro (screenplay)",48.0,6.7,John Dahl,12 Aug 2005,"Benjamin Bratt, James Franco, Robert Mammone, Max Martini",2005,"Action, Drama, War",1 nomination.,132 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODI3Nl5BMl5BanBnXkFtZTcwNjA1NzAzMQ@@._V1_SX300.jpg,"18,422",tt0326905,37.0,5.3,"Though the climax of the film -- the actual raid -- is exciting, the rest of it is bogged down in too many subplots and runs on for too long.",3.5,rotten,20 Dec 2005,Miramax Films,44,http://www.miramax.com/thegreatraid/,76,16754,70.0,"$10,074,830.00",120,http://www.rottentomatoes.com/m/great_raid/,0.0657407407407
1277,34540,Comedy|Drama,381505,14166.0,A 15-year-old girl incites chaos among her friends and a media frenzy when she accuses her drama teacher of sexual harassment.,R,True,English,Pretty Persuasion,USA,Skander Halim,45.0,6.6,Marcos Siega,25 May 2006,"Evan Rachel Wood, David Wagner, Brent Goldberg, Adi Schnall",2005,"Comedy, Drama",1 win &amp; 2 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NTA1MDkyOF5BMl5BanBnXkFtZTcwOTg3NTAzMQ@@._V1_SX300.jpg,"8,765",tt0381505,32.0,5.0,"Pretty Persuasion aims for high satire but falls short of poignancy by depending on too much black humor, with too little redeeming humanity to provide balance.",3.4,rotten,13 Dec 2005,Samuel Goldwyn Films,25,http://www.prettypersuasionthemovie.com,52,9616,62.0,"$58,570.00",77,http://www.rottentomatoes.com/m/pretty_persuasion/,0.0926388888889
1278,34542,Documentary,427312,501.0,"A devastating and heartrending take on grizzly bear activists Timothy Treadwell and Amie Huguenard, who were killed in October of 2003 while living among grizzlies in Alaska.",R,True,English,Grizzly Man,USA,Werner Herzog,87.0,7.8,Werner Herzog,02 Sep 2005,"Werner Herzog, Carol Dexter, Val Dexter, Sam Egli",2005,"Documentary, Biography",21 wins &amp; 14 nominations.,103 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODc3NTAxMTY1MV5BMl5BanBnXkFtZTcwOTE4NjUzMw@@._V1_SX300.jpg,"42,085",tt0427312,92.0,8.0,"Whatever opinion you come to have of the obsessive Treadwell, Herzog has once again found a fascinating subject.",3.7,certified,26 Dec 2005,Lions Gate Releasing,126,http://www.lionsgatefilms.com/profile/grizzlyman.php,11,53401,85.0,"$2,899,138.00",137,http://www.rottentomatoes.com/m/grizzly_man/,0.266666666667
1279,35015,Adventure|Drama,361715,15907.0,An orphaned cheetah becomes the best friend and pet of a young boy living in South Africa.,PG,True,English,Duma,USA,"Carol Cawthra Hopcraft (book), Xan Hopcraft (book), Carol Flint (story), Karen Janszen (story), Karen Janszen (screenplay), Mark St. Germain (screenplay)",82.0,7.3,Carroll Ballard,27 May 2005,"Alex Michaeletos, Campbell Scott, Mary Makhatho, Nthabiseng Kenoshi",2005,"Adventure, Drama, Family",1 win.,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMTg3NzQ1NV5BMl5BanBnXkFtZTYwNzg2NDc2._V1_SX300.jpg,"6,527",tt0361715,93.0,7.5,"This is an old-fashioned, richly textured family film that will appeal to children and adults alike.",3.4,certified,16 May 2006,Warner Bros. Pictures,57,http://dumamovie.warnerbros.com/,4,20820,80.0,"$810,666.00",61,http://www.rottentomatoes.com/m/duma/,0.375
1280,35836,Comedy|Romance,405422,6957.0,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",R,True,"English, Spanish, Japanese",The 40-Year-Old Virgin,USA,"Judd Apatow, Steve Carell",73.0,7.1,Judd Apatow,19 Aug 2005,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco",2005,"Comedy, Romance",10 wins &amp; 18 nominations.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MzU2MzY2Nl5BMl5BanBnXkFtZTgwOTM4NzMxMDE@._V1_SX300.jpg,"318,383",tt0405422,85.0,7.2,"Steve Carell's first star turn scores big with a tender treatment of its titular underdog, using raunchy but realistically funny comedy to connect with adult audiences.",3.6,certified,13 Dec 2005,Universal Pictures,154,http://www.the40yearoldvirgin.com/,27,993331,84.0,"$109,243,478.00",181,http://www.rottentomatoes.com/m/40_year_old_virgin/,0.0333333333333
1281,35957,Horror|Thriller,421239,11460.0,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician.",PG-13,True,"English, Russian",Red Eye,USA,"Carl Ellsworth (screenplay), Carl Ellsworth (story), Dan Foos (story)",71.0,6.5,Wes Craven,19 Aug 2005,"Rachel McAdams, Cillian Murphy, Brian Cox, Laura Johnson",2005,"Mystery, Thriller",2 wins &amp; 9 nominations.,85 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNzAxNjc1ODczOF5BMl5BanBnXkFtZTcwMjE3MjEzMw@@._V1_SX300.jpg,"95,369",tt0421239,79.0,6.7,"With solid performances and tight direction from Wes Craven, Red Eye is a brisk, economic thriller.",3.2,certified,10 Jan 2006,Dreamworks,148,http://www.redeye-themovie.com/,39,435847,64.0,"$57,859,105.00",187,http://www.rottentomatoes.com/m/1149496-1149496-red_eye/,0.00535714285714
1282,36392,Action,403016,17186.0,"Faced with the suspicious death of their father, two brothers must motivate one another to get back on their bikes and take the Las Vegas Motocross Championships by storm.",PG-13,True,English,Supercross,USA,"Ken Solarz (screenplay), Bart Baker (screenplay), Bart Baker (story), Keith Alan Bernstein (story)",26.0,4.0,Steve Boyum,17 Aug 2005,"Steve Howey, Mike Vogel, Cameron Richardson, Sophia Bush",2005,"Action, Drama, Romance",,80 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE4OTAwNDczMF5BMl5BanBnXkFtZTcwODQ5OTYzMQ@@._V1_SX300.jpg,"3,969",tt0403016,5.0,2.8,"While it showcases some cool stunts, Supercross feels like an infomercial for its titular sport, with undeveloped characters and a shopworn plot.",3.0,rotten,31 Jan 2006,20th Century Fox,4,http://www.supercrossmovie.com/,69,47212,61.0,"$3,045,751.00",73,http://www.rottentomatoes.com/m/supercross/,0.225
1283,36397,Adventure|Animation|Children|Comedy|Fantasy|War,361089,14175.0,"Set in 1944, Valiant is a woodland pigeon who wants to become a great hero someday. When he hears they are hiring recruits for the Royal Homing Pigeon Service, he immediately sets out for ...",G,True,English,Valiant,"UK, USA","George Webster (story), Jordan Katz (screenplay), George Webster (screenplay), George Melrod (screenplay)",45.0,5.6,Gary Chapman,19 Aug 2005,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent",2005,"Animation, Adventure, Comedy",2 nominations.,76 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNzUzMDAzOV5BMl5BanBnXkFtZTcwMTc0NzEzMQ@@._V1_SX300.jpg,"16,120",tt0361089,31.0,5.0,"Valiant has a good collection of voice talents, but the story is strictly by-the-numbers.",2.8,rotten,13 Dec 2005,Buena Vista,35,http://disney.go.com/disneypictures/valiant/,77,37183,29.0,"$19,355,116.00",112,http://www.rottentomatoes.com/m/valiant/,0.7
1286,36509,Action|Adventure|Horror|Mystery|Sci-Fi|Thriller,402901,9042.0,Bloodthirsty creatures await a pack of divers who become trapped in an underwater cave network.,PG-13,True,"English, Romanian",The Cave,"USA, Germany, Romania","Michael Steinberg, Tegan West",30.0,5.1,Bruce Hunt,26 Aug 2005,"Cole Hauser, Eddie Cibrian, Morris Chestnut, Lena Headey",2005,"Adventure, Horror, Thriller",,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MTQ1NjQ2Ml5BMl5BanBnXkFtZTcwNTkzMTMzMQ@@._V1_SX300.jpg,"29,039",tt0402901,11.0,3.5,"Despite its stylized and impressive sets, this horror-monster movie mish-mash suffers from endless cliches and wildly implausible plotlines.",2.8,rotten,03 Jan 2006,Screen Gems,12,http://www.sonypictures.com/movies/thecave,97,93502,28.0,"$14,888,028.00",109,http://www.rottentomatoes.com/m/cave/,0.09375
1287,36511,Comedy|Drama|Romance,434424,17926.0,A group of aspiring entertainers try to establish careers for themselves in the city of Los Angeles.,PG-13,True,"English, Japanese, Spanish",Undiscovered,"Germany, USA",John Galt,29.0,4.2,Meiert Avis,26 Aug 2005,"Pell James, Steven Strait, Kip Pardue, Carrie Fisher",2005,"Comedy, Music, Romance",3 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTYzMjIxMF5BMl5BanBnXkFtZTcwNTUxNjAzMQ@@._V1_SX300.jpg,"2,610",tt0434424,8.0,3.2,"Undiscovered, a film about aspiring actresses and musicians, lacks originality and a convincing plot.",3.1,rotten,26 Dec 2005,Lions Gate Films,6,http://www.undiscoveredfilm.com,67,9312,47.0,"$1,046,166.00",73,http://www.rottentomatoes.com/m/undiscovered/,0.5
1288,36517,Drama|Thriller,387131,1985.0,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.",R,True,"English, Italian, Swahili, German",The Constant Gardener,"UK, Germany, USA, China","Jeffrey Caine (screenplay), John le Carré (based on the novel by)",82.0,7.5,Fernando Meirelles,31 Aug 2005,"Ralph Fiennes, Rachel Weisz, Hubert Koundé, Danny Huston",2005,"Drama, Mystery, Romance",Won 1 Oscar. Another 33 wins &amp; 64 nominations.,129 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOWZkODhlZjQtMzdiYi00MDg2LTgxZDItN2IxMDZhMWE0MDdmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"112,795",tt0387131,84.0,7.6,"The Constant Gardener is a smart, gripping, and suspenseful thriller with rich performances from the leads.",3.5,certified,10 Jan 2006,Focus Features,154,http://www.theconstantgardener.com/,30,217293,82.0,"$33,565,375.00",184,http://www.rottentomatoes.com/m/constant_gardener/,0.217857142857
1289,36525,Comedy|Fantasy|Romance,425123,9007.0,A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.,PG-13,True,"English, Spanish, Mandarin",Just Like Heaven,USA,"Peter Tolan (screenplay), Leslie Dixon (screenplay), Marc Lévy (novel)",47.0,6.7,Mark Waters,16 Sep 2005,"Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters",2005,"Comedy, Fantasy, Romance",1 win &amp; 1 nomination.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0Njk2OTY2N15BMl5BanBnXkFtZTcwNTAxNjAzMQ@@._V1_SX300.jpg,"83,603",tt0425123,56.0,5.7,"Delightfully sweet like a lollipop, Just Like Heaven is a dreamy romantic comedy that may give you a toothache when it attempts to broach difficult end of life issues by throwing a cherry on top.",3.6,rotten,07 Feb 2006,Dreamworks,83,http://www.justlikeheaven-themovie.com/,66,541233,75.0,"$48,291,624.00",149,http://www.rottentomatoes.com/m/just_like_heaven/,0.0875
1290,36527,Drama,377107,9777.0,"The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search through his papers, and her estranged sister, who shows up to help settle his affairs.",PG-13,True,English,Proof,USA,"David Auburn (play), David Auburn (screenplay), Rebecca Miller (screenplay)",64.0,6.8,John Madden,07 Oct 2005,"Gwyneth Paltrow, Anthony Hopkins, Jake Gyllenhaal, Danny McCarthy",2005,"Drama, Mystery",Nominated for 1 Golden Globe. Another 4 wins &amp; 5 nominations.,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMjM0MTY4Nl5BMl5BanBnXkFtZTcwMDU4MjEzMQ@@._V1_SX300.jpg,"36,705",tt0377107,62.0,6.5,Gwyneth Paltrow and Anthony Hopkins give exceptional performances in a film that intelligently tackles the territory between madness and genius.,3.2,fresh,14 Feb 2006,Miramax Films,88,http://www.miramax.com/proof/,53,88699,59.0,"$7,468,700.00",141,http://www.rottentomatoes.com/m/proof/,0.733333333333
1291,36529,Action|Crime|Drama|Thriller|War,399295,1830.0,An arms dealer confronts the morality of his work as he is being chased by an Interpol agent.,R,True,"English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish",Lord of War,"USA, Germany, France",Andrew Niccol,62.0,7.6,Andrew Niccol,16 Sep 2005,"Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan",2005,"Crime, Drama, Thriller",2 wins &amp; 2 nominations.,122 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzZWE3MDAtZjZkMi00MzhlLTlhZDUtNmI2Zjg3OWVlZWI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"251,494",tt0399295,61.0,6.2,"While Lord of War is an intelligent examination of the gun trade, it is too scattershot in its plotting to connect.",3.6,fresh,17 Jan 2006,Lions Gate,87,http://www.lordofwarthemovie.com/,56,389442,85.0,"$24,033,036.00",143,http://www.rottentomatoes.com/m/lord_of_war/,0.8
1292,36531,Horror|Thriller,428251,7182.0,"A group of teenagers run for their lives through the swamps of Louisiana, chased by Mr. Jangles, a man possessed by 13 evil souls, and now relentless in his pursuit of new victims.",R,True,English,Venom,USA,"Flint Dille (screenplay), John Zuur Platten (screenplay), Brandon Boyce (screenplay), Flint Dille (story), John Zuur Platten (story)",25.0,4.7,Jim Gillespie,16 Sep 2005,"Agnes Bruckner, Jonathan Jackson, Laura Ramsey, D.J. Cotrona",2005,Horror,,87 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZjBmNjhiMTItMjA1Ni00ZDQ2LWFhNGMtN2U2NGZjYzNkOWExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"8,198",tt0428251,11.0,3.1,"A voodoo horror flick without the mojo, Venom is chock full of gory impalings of interchangeable teenage girls and hunky guys by an unstoppable zombie whose unimaginative rampage quickly lulls us to sleep.",2.6,rotten,17 Jan 2006,Miramax,7,http://www.miramax.com/venom/,55,17587,21.0,"$811,035.00",62,http://www.rottentomatoes.com/m/1151780-venom/,0.0458333333333
1293,36535,Comedy|Drama,404030,340.0,"A young Jewish American man endeavors to find the woman who saved his grandfather during World War II in a Ukrainian village, that was ultimately razed by the Nazis, with the help of an eccentric local.",PG-13,True,"English, Russian, Ukrainian",Everything Is Illuminated,USA,"Jonathan Safran Foer (novel), Liev Schreiber (screenplay)",58.0,7.5,Liev Schreiber,14 Oct 2005,"Eugene Hutz, Elijah Wood, Jonathan Safran Foer, Jana Hrabetova",2005,"Comedy, Drama",7 wins &amp; 4 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNTU2MTczNl5BMl5BanBnXkFtZTYwODYxMjY3._V1_SX300.jpg,"51,108",tt0404030,66.0,6.5,"Although it excises much from its famously dense source material, Everything is Illuminated is a quirky, ambitious debut film from Liev Schreiber.",3.9,fresh,21 Mar 2006,Warner Independent Pictures,79,http://wip.warnerbros.com/everythingisilluminated/,40,59808,89.0,"$1,644,300.00",119,http://www.rottentomatoes.com/m/everything_is_illuminated/,0.2375
